,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
A,-0.049148215115912254,-0.03202773580484954,-0.14524323709119855,-0.003426471681565602,-0.07377290659028503,-0.06526532841685503,-0.016639157829814937,-0.03080632985942861,-0.011485373984544134,-0.061440650881740166,-0.008214540282420349,-0.02848999718302637,0.019744200939517766,0.1388796744047034,0.04666093168748788,-0.22021591584225972,-0.17864932203083064,0.025737290935878062,-0.9049652002102581,0.19454491643946592
B,-0.12445779408032902,-0.11665787332805334,-0.37626546711492076,0.10456045207998696,-0.3420670130066406,0.25786977547514456,0.14296435577360048,-0.20842010337662065,-0.1190099776029577,0.4044865534878945,-0.02483070758332063,-0.031146659114923852,-0.12326529752569305,-0.04417813743032948,0.14922360306756602,0.5635114060960316,-0.17430491520943087,0.05023662522648987,-0.041596622362263164,0.007330973744179334
C,0.1136989836259426,-0.021540209201804654,-0.09310914709418962,-0.04940685237534117,0.04495462900447355,0.021049792929137036,-0.32755781563064357,-0.2612465784622725,0.3669782744160195,-0.03047227215574799,-0.12259026610609211,-0.21207562315398465,-0.13181446163194055,0.690200134847297,-0.23475433026598763,0.10136114743270745,-0.16552696800066252,-0.02271728663467727,0.12164086823507927,-0.0061265441395262805
D,-0.025116893039209377,-0.6577834996181763,0.3683399940350438,-0.364150393802117,0.09898368452572914,0.1626304047230844,0.3475733410327453,-0.09185281025736217,-0.008235877553523693,-0.04961645109442,-0.13265449070855212,0.11086037002412015,0.0005826403876372216,0.017167153382810135,-0.26868239004562955,0.09984644505926038,-0.11581939976383855,0.01657353709598456,-0.06567276002081218,0.006811022415339128
E,0.0736951537341938,-0.027293874766037184,-0.4245140564192761,-0.282871888106115,0.34138785148658235,0.06335561660413513,0.00739583104857635,0.14774849693008515,0.08599427971000974,-0.06561372392563168,-0.08779525826569314,0.026048227844990612,0.004319929758575877,-0.07574321585554737,0.08352992272819633,0.03669699341068766,-0.025552977027491135,0.01408090420174746,-0.1363776130881455,-0.7331678357734913
F,0.2712440357804244,-0.17173669132794267,-0.011393750250754345,0.2594148332429613,0.026480810605526716,0.0005041399315853775,-0.30965407585740085,0.03468808177705003,0.001305269901801015,0.13827595394420714,-0.16206307704342432,0.03720420198529642,-0.5376856883277985,-0.4183401210999453,-0.2732713251894915,-0.20840951763146545,-0.3101192618457944,0.07681348702289124,0.004112837664261662,-0.02508167348108588
G,-0.028811741168522406,-0.1328440763476325,-0.09389044953048827,0.36441071258314256,0.06281044841625609,-0.31122657218474326,0.30528856464069776,-0.11526755628080168,0.39274484488078465,0.07213654596129765,-0.3654129570791047,-0.31441824703791227,0.36866918830221435,-0.21308819872836116,-0.0044044427354302555,-0.05847617710400279,-0.12433813992768114,-0.19589299222637133,0.0436793268021161,-0.01658041319810969
H,0.793249985521222,0.0033509531441212443,-0.03858947900505602,-0.14926441616765737,-0.4511393072377126,-0.08659132753206002,0.23216047380488858,0.24629591614113786,0.03951760919862039,-0.03319770779577032,-0.020195784346565306,-0.050436479290946315,0.061274950744563746,0.08382760041359093,0.055836674717090196,0.019927887773538933,0.03650333138238711,0.011714158726757488,0.0027460239325797324,-0.0002956842778758474
I,0.16373092533073555,-0.06359292585768894,-0.005909786134459017,0.16224384742087158,0.16376432718349518,-0.08730138693150175,-0.008165873115229604,-0.08266526198075104,-0.09505589384160018,0.07599100047573093,0.016744880482022453,0.11937687503366358,-0.21015706816326152,0.036744869821501214,-0.15105519174206158,0.22745546557060373,0.4887673569421074,-0.688325137754804,-0.19820114111201223,-0.00834137085419847
J,-0.22141020183779253,-0.1388902466217107,-0.36828636086059663,0.07803162120758475,-0.4374157706153449,0.3578909651475248,0.052897322800946694,-0.018023958151571907,0.06861489865514737,-0.27892628987936197,-0.17052021675326567,0.11103654477890589,-0.003257545307310743,0.004703393943887848,-0.2579880179336632,-0.39086904896464075,0.32715113921728095,-0.06160445260482435,0.10998018761787567,-0.03492613167086629
K,0.08271121785878625,-0.020537720784891925,-0.46507733136996204,-0.29097066558024537,0.3770357433303375,0.07875786873794008,0.013328272092290485,0.21135807880713545,0.1861372419185495,-0.019808433397868724,-0.04360137689755046,0.06723071762619609,0.0028140530559592446,-0.1510644978193725,-0.025716557501865214,0.08676533102476061,0.03711957217355845,0.005945961001630428,0.11072171050836103,0.6421966942824834
L,0.019088309248695045,-0.3993820452600703,0.07760980995141686,0.20868133382337492,-0.04162747397939897,0.2246908837686779,-0.2858263619511324,0.17444077929246088,0.19657076689249034,-0.46595471792484006,0.24945899651019623,-0.21095845891915846,-0.007999161514276031,-0.10412494169796456,0.43943207703874604,0.18931867165393323,-0.04912993345715415,-0.14454783658605205,-0.009381993998018187,0.021959627246682954
M,0.10517825119554947,-0.23751394282409657,0.043802984921430616,0.015465882879410819,0.12460374561239668,0.09954374254475824,-0.10958426191525099,-0.09706067403329295,-0.10486548504521181,0.32381392559832145,-0.40654607849866475,0.16067219622919915,-0.0321362799666262,0.21082493464605162,0.6126325272223023,-0.3352422239038552,0.1799038133810898,0.027165195930264778,0.0838645711421954,0.05685317560526879
N,-0.2338079783167239,-0.2830186603457907,-0.11046099853669938,-0.37447568847235596,-0.337335149431534,-0.651042158588565,-0.3648441820939881,0.03223910824744997,0.010876306034348483,0.056847922110235365,-0.026577356016436692,0.0394538983347238,-0.012941796030742152,-0.11047709135247222,0.040250644777313195,0.06527379464894796,0.11134676748048022,-0.030536909378491253,0.060700597535041596,-0.010839114544974578
O,0.08710088668596604,-0.21609176404687921,-0.15662349070738307,0.04706389282012722,0.15919721974539455,-0.03077905133488089,-0.061039390665531774,-0.0208592127700695,-0.5655641403448354,-0.01216214186004028,0.015619743613510354,-0.6604927014383913,0.08908119429862985,0.04228539089316412,-0.15638981972879604,-0.04936872697721032,0.22620420637918626,0.20593108068970595,0.028092727942275283,0.03210645032791944
P,-0.039397354386423986,-0.16134527460552997,-0.08710131316181745,-0.07855047709871808,0.01896438470580556,-0.03224870641253083,0.2602822328950749,-0.08533314443371035,0.2795818743735298,0.3575699132536241,0.6473454465552231,-0.19946563921437643,-0.23478217613122923,0.033025690692252925,0.0770253644233188,-0.3769065337763632,0.06053708188789673,-0.058275464445246866,0.06700361991255395,-0.040131335156635875
Q,-0.031242428819257546,-0.15671472063027153,-0.2684002902477395,0.19074382648310173,0.06102155817028573,-0.23811118192236014,0.1884679527580961,0.11496376897132247,-0.4069993153668445,-0.19243371661042627,0.136674560016699,0.26595387999292186,0.001609961994870086,0.29516891299656917,0.0355428131617518,-0.13265983803436804,-0.47819248231356376,-0.2755984027426849,0.23228345259641306,0.015072021351741273
R,0.27875048771759253,0.028150706453221177,-0.12077633094117851,-0.11966578819115344,0.041460511247676086,-0.03448058800028945,-0.06439133396833847,-0.8102884239787699,-0.07349441753314064,-0.2715722202236445,0.16083260208665862,0.14988474972124322,0.14807748448060085,-0.25213646970045467,0.0921080800060179,-0.0595555403493023,-0.030442048111869947,0.026679540623536512,0.04082284294249612,0.025620986336205628
S,0.02109746291811136,-0.15709634371714432,-0.09107851688594565,0.37158166214202865,0.12770141070836302,-0.31139991489627394,0.22862929368668777,-0.023296145347673495,0.1369647994272879,-0.20103850191744127,0.050153869399870404,0.25709932808547714,-0.23590636912835172,0.14985798406081957,0.01681926382973342,0.18690119961758248,0.3207678773000165,0.5621626949062044,-0.047165811576424535,-0.012520336807113307
T,0.14976733361388392,-0.24857763415739131,-0.056477158648603046,0.2310085307400209,0.046855516230468554,0.10475422087182183,-0.3389299045108358,0.10573656338069964,0.0421078751238615,0.3333518899268999,0.2700858590150274,0.31492396197248745,0.5934273933920078,0.03449442861396882,-0.25093183339426045,0.0035929499388566628,0.03838167166007709,0.11282706983021021,-0.04579534089842506,-0.04853590567230484
